device_id1,StudyID,device_id2,date
4a23c5dc-9a50-4d46-a12d-dd94ee98270f,8415477,,2022-11-10
f3845ba4-8702-42cf-a14f-051c46f66b61,15027959,,2022-11-10
ae02314b-a607-41b9-9507-28ffa1babed7,73386307,,2022-11-09
b460f89e-fd76-46ff-a960-989d74fcb66a,87785016,,2022-11-11
e5048fab-dc20-4d99-8cea-220a5a2750e0,14851895,,2022-11-09
46f68cbe-5f0d-4a69-8362-39389610ff63,30136950,,2022-11-10
c90fc8dd-1b5d-4f1a-815b-c98fdaf8b406,40162819,,2022-11-15
95959b6c-46ad-449b-ad9f-aec4589a704f,35527674,,2022-11-15
032c33b9-32bf-4349-bb4a-7746ad57c56d,25570762,,2022-11-12
5bfba553-0ec5-47a5-802b-2872ac5f42a2,58454096,,2022-11-10
6965b966-d305-4743-b425-3f7b924293a4,70813254,,2022-11-10
c367002e-992f-48f1-b5e1-66a833c76379,79591753,,2022-11-18
eac0be15-d3d8-43e5-8e19-41021ecf9c33,17779007,,2022-11-21
41646f47-46d6-4ea7-90fd-0b6afaea3d64,43958294,,2022-11-22
a89d3083-9c27-43c7-bfe1-e4f72d1ac3a3,64121271,,2022-11-21
890fa6c5-0126-4953-8bb8-808dffcb55c8,77749415,,2022-11-26
33fcced4-82c8-42a3-ae2d-cdfdc365f7e2,64197094,,2022-11-28
1aa44377-7d5b-4bfe-99a5-83745ee52c1f,64197094,33fcced4-82c8-42a3-ae2d-cdfdc365f7e2,2022-11-28
cb6d195d-051f-4cd5-baf1-74b32667ddf7,64197094,33fcced4-82c8-42a3-ae2d-cdfdc365f7e2,2022-11-28
cc715c31-45ae-4293-8ed6-961507819514,80161453,,
10592755-9ec2-4116-bb4d-58d0af49bcb2,77749415,890fa6c5-0126-4953-8bb8-808dffcb55c8,2022-11-26
b97b9fda-6384-4f1c-a0b6-533272ecc2bb,69154006,,2022-12-02
c93e81cf-afe3-4159-9ae8-46667f8336f9,69154006,b97b9fda-6384-4f1c-a0b6-533272ecc2bb,2022-12-02
55b49a7e-8ffe-4f91-af32-8101398db6e9,55160705,,2022-12-01
78993a86-6de9-4578-b8d1-9bdf6a6bb852,6350029,,2022-11-21
0b610989-4adb-46ed-aa0f-1ad502f7dbd3,67162158,,2022-11-28
413a0a39-2641-4bbf-80a3-42dd0d5e97f1,59337912,,2022-12-01
fd307698-3da3-4599-b1cf-22792211494f,56141058,,2022-12-01
dff9a20d-f314-4901-8adc-fa91b6e2c5b8,19576717,,2022-12-01
f26f3abd-8eea-4a4e-b123-be754f03b847,68886845,,2022-12-02
25eb1e48-38c1-48dd-a73a-515edc31bd66,34448385,,2022-12-01
72261f02-0053-48e9-9051-1c42ba4f5bcd,62756407,,2022-12-02
960c667a-6e6f-43f7-a4c2-e38996ba24cd,77857937,,
381fcfe1-d77b-4770-bc0e-90861799f23e,81451907,,2022-12-02
144cc8ef-2ce3-466f-a86d-139a1a39cf85,52920053,,2022-12-01
bf244d2f-5edd-4000-80f4-084c7951ece9,84542589,,2022-12-01
cb970784-a6f7-43f1-b72e-6887d46d1ee9,691711,,2022-12-02
4819ec9b-2139-48bc-9f03-5662d38e1e83,69154006,b97b9fda-6384-4f1c-a0b6-533272ecc2bb,2022-12-02
56c64572-4f30-47aa-ad4c-cc8ccd576732,16046957,,2022-12-01
8760f740-8360-4e09-b198-d992bcb6d67c,17369257,,2022-12-01
4e624b77-faaf-4d32-8334-9d50e016c46c,66855627,,2022-12-01
6a44b40b-76be-4117-8fb6-fba352458807,40519798,,2022-12-01
e745db7e-fe58-4077-a429-6b959c72581a,87425793,,2022-12-01
98de0a59-c75e-4b1b-b80c-dd54dbfd5e07,18593144,,2022-12-01
b09ff4ae-575f-4bdb-b00b-9acd49246407,2276079,,2022-12-02
631788ed-6d66-4c1c-8b18-c2d320fd3043,34235284,,2022-12-03
0879c9e2-6620-41da-ab28-93fadb5cfbae,42343422,,2022-12-08
0ffb36e1-167c-423e-b8c1-63ea32ae8b22,57817153,,2022-12-02
3da64949-1d4f-48cf-a951-ce3e9210795e,46540496,,2022-12-01
ffe96eaa-8909-4958-a34e-0ed1fe68f9bd,10894681,,2022-12-03
42476945-afd2-4b05-9a0c-2b2f44246c43,52718290,,2022-12-02
ebaa8e94-18ce-4221-8b10-37dcf2d93baf,62656323,,2022-12-03
e8710240-dd8b-4792-a940-e4cf5c1760e4,41524061,,2022-12-02
cb513d54-266f-46f2-83e5-5b37258d93f6,23455209,,2022-12-03
3a6fc809-973b-4325-9bbe-05c3cdc13ae3,70226607,,2022-12-01
56539e59-7669-433e-8f03-0fb7203bc9f3,42876574,,2022-12-01
1e329236-5aa0-42d5-a811-5e4cfa400c85,51350636,,2022-12-03
30ca0662-67d1-42d6-9610-d435e60a6a79,41479380,,2022-12-03
62be005b-6ffd-473d-a03c-5c837c45a465,71466174,,2022-12-02
fb9f306e-fa07-431d-beaa-7bcb9f1ebe5b,71057950,,2022-12-03
6e4f1955-6d5a-4eb8-851c-7c0f61b1fc6b,38825720,,2022-12-02
d285b451-3910-4591-8b49-83ca160159e5,16046957,56c64572-4f30-47aa-ad4c-cc8ccd576732,2022-12-01
93065d22-8138-49d0-bde4-aa05eafa94cc,48221971,,2022-12-02
1e73df50-ef10-4025-9c34-e44afd115d77,98690733,,2022-12-09
0d9821b5-83fd-44f9-863b-12e4c0f62738,12553168,,2022-12-10
2b5c3dfc-3ad2-4c8b-9539-ba922afed3c9,84991706,,2022-12-11
160d7b33-a74f-438d-af2a-445ecd8c4ff1,78697565,,2022-12-09
84249fa7-bf40-4413-b9d3-b121ba70afb1,77037129,,2022-11-28
d565193f-df85-4012-a747-0e415cf60f37,54272974,,2022-12-12
97565e04-92ba-4f57-9300-d1657613dd3e,60328886,,2022-12-02
780c9b18-72d3-4714-858d-3c91b3719155,21788465,,2022-12-10
a1118578-bbb4-47ef-b784-7d5bd09ad8b5,7389236,,2022-12-01
00e17b8a-4b0f-4230-bd26-3df2853e8916,69546645,,2022-12-12
029e57cb-fa0d-479d-abd2-9cb5745f219d,72690342,,2022-12-10
826fee95-bb60-4915-9e63-d027bf225eb5,49211890,,2022-11-21
